ticker,status,sector,price,pe,fwd_pe,peg,margin_pct,roe_pct,roic_pct,de_ratio,net_debt_to_ebitda,rev_growth_pct,fcf_b,div_yield_pct,mcap_b,beta,note
AAPL,PASS,Technology,305.25998,35.083714,32.17704,2.47,27.6,148.8,62.7,78.445,0.13,16.4,107.72,0.35,4464.8,1.086,
ABBV,FAIL,,,,,,,,,,,,,,,,trailing_pe=70.468925 > 40.0
ACDVF.PA,MISSING,,,,,,,,,,,,,,,,HTTP Error 404: Not Found; chart fallback also failed: HTTP Error 404: Not Found
ADDT-B.ST,FAIL,,,,,,,,,,,,,,,,trailing_pe=41.236366 > 40.0
AIR,PASS,Industrials,143.39,29.825462,22.20948,2.4,5.7,12.9,8.0,59.397,2.7,23.0,-0.05,,5.8,1.125,
AMD,FAIL,,,,,,,,,,,,,,,,trailing_pe=131.55754 > 40.0
AMZN,PASS,Consumer Cyclical,265.13,21.147343,25.246893,1.4,17.4,30.6,10.4,45.617,0.76,19.6,3.22,,2833.0,1.454,
ASM.AS,FAIL,,,,,,,,,,,,,,,,trailing_pe=42.090786 > 40.0
ASML,FAIL,,,,,,,,,,,,,,,,trailing_pe=62.89495 > 40.0
ASSA-B.ST,PASS,Industrials,356.9,24.029852,,1.67,10.8,15.6,,64.103,2.33,3.3,18.4,1.79,,0.846,
AVGO,FAIL,,,,,,,,,,,,,,,,trailing_pe=65.38934 > 40.0
AZA.ST,PASS,Financial Services,399.7,22.356226,30.752687,,53.0,39.1,38.6,4.35,,25.4,,3.19,63.2,0.637,
BITC,MISSING,,35.475,,,,,,,,,,,,,,"missing: trailing_pe,profit_margins,debt_to_equity"
BRK.B,MISSING,,,,,,,,,,,,,,,,"missing: trailing_pe,profit_margins,debt_to_equity"
BTC,MISSING,,28.0,,,,,,,,,,,,,,"missing: trailing_pe,profit_margins,debt_to_equity"
CSPX,MISSING,,,,,,,,,,,,,,,,"missing: trailing_pe,profit_margins,debt_to_equity"
DSV.CO,FAIL,,,,,,,,,,,,,,,,trailing_pe=46.918488 > 40.0; profit_margins=0.02362 < 0.05
EPI-B.ST,PASS,Industrials,211.0,29.123287,38.10036,1.9,14.2,21.2,29.7,42.095,0.81,10.4,5.66,1.8,257.2,1.221,
EQNR,PASS,Energy,40.15,11.04878,11.1297655,1.02,8.0,21.3,59.9,75.162,0.21,37.4,29.4,3.83,96.8,-0.73,
EQQQ,MISSING,,44.3266,,,,,,,,,,,,,,"missing: trailing_pe,profit_margins,debt_to_equity"
ERIC-B.ST,PASS,Technology,97.62,13.211382,,1.93,10.8,26.1,16.8,37.682,-0.41,-6.1,30.71,3.07,319.4,0.504,
ESQF,MISSING,,1e-06,,,,,,,,,,,,,,"missing: trailing_pe,profit_margins,debt_to_equity"
ETH,MISSING,,18.0,,,,,,,,,,,,,,"missing: trailing_pe,profit_margins,debt_to_equity"
EVO,FAIL,,,,,,,,,,,,,,,,profit_margins=-0.27471 < 0.05
GETI-B.ST,PASS,Healthcare,240.1,24.25662,21.77331,1.68,7.8,8.9,11.0,35.81,1.54,1.7,2.85,1.98,64.9,0.825,
GOOGL,PASS,Communication Services,346.36,17.364458,23.456905,0.94,54.8,48.7,28.6,18.859,-0.7,24.2,22.67,0.25,4230.3,1.237,
HEXA-B.ST,PASS,Technology,95.2,10.913694,17.793621,1.18,10.0,27.3,13.0,46.892,0.38,4.0,0.68,1.59,252.6,0.884,
HM-B.ST,FAIL,,,,,,,,,,,,,,,,debt_to_equity=226.362 > 150.0
INDU-C.ST,PASS,Financial Services,518.8,3.5582736,,5.47,99.3,32.3,41.4,2.799,0.04,1197.9,39.46,1.69,223.6,0.942,
INVE-B.ST,PASS,Financial Services,412.65,4.7964067,,5.08,80.1,27.3,,11.589,0.39,117.0,166.01,1.36,,0.781,
IWDA,MISSING,,,,,,,,,,,,,,,,HTTP Error 404: Not Found; chart fallback also failed: HTTP Error 404: Not Found
JNJ,PASS,Healthcare,262.08,30.203018,21.153769,4.56,21.5,25.7,16.8,57.709,0.81,6.6,16.89,2.06,627.4,0.231,
KINV-B.ST,FAIL,,,,,,,,,,,,,,,,profit_margins=0.0 < 0.05
KO,PASS,Consumer Defensive,87.42,26.33934,24.872532,4.23,28.6,42.1,17.2,115.519,1.64,6.7,5.22,2.42,377.4,0.342,
LATO-B.ST,PASS,Industrials,193.65,27.24679,,,16.1,10.3,4.6,45.64,3.75,-2.2,2.54,2.64,122.1,1.288,
LIFCO-B.ST,PASS,Industrials,318.8,37.28774,39.62406,,13.2,20.2,14.6,57.938,1.48,10.8,4.17,0.85,143.6,1.165,
LLY,FAIL,,,,,,,,,,,,,,,,debt_to_equity=162.071 > 150.0
MC,PASS,Financial Services,70.38,23.836239,17.466904,,14.5,41.5,28.8,40.955,,12.0,,3.8,5.1,1.841,
META,PASS,Communication Services,594.97,22.224941,16.908413,0.88,29.8,29.8,18.6,42.997,0.2,28.0,21.55,0.36,1502.6,1.243,
MSFT,PASS,Technology,496.88,27.62967,21.015318,1.61,40.3,34.0,20.7,29.118,0.27,17.7,16.55,0.73,3678.6,1.099,
NDA-FI.ST,MISSING,,,,,,,,,,,,,,,,HTTP Error 404: Not Found; chart fallback also failed: HTTP Error 404: Not Found
NESN,MISSING,,,,,,,,,,,,,,,,HTTP Error 404: Not Found; chart fallback also failed: HTTP Error 404: Not Found
NIBE-B.ST,PASS,Industrials,38.28,32.369747,22.792898,1.79,5.9,7.8,5.8,71.987,3.26,-0.2,2.88,0.91,77.7,0.914,
