run_utc,ticker,source,rank,best_lens,lens_score,screen_status
2026-08-25T07:21:09+00:00,AAPL,watchlist,20,quality,1.657,FAIL
2026-08-25T07:21:09+00:00,ABB.ST,holding,65,quality,0.216,FAIL
2026-08-25T07:21:09+00:00,ABBV,watchlist,60,quality,0.456,FAIL
2026-08-25T07:21:09+00:00,AFRY.ST,new,32,value,1.416,PASS
2026-08-25T07:21:09+00:00,ALFA.ST,holding,66,defensive,0.134,PASS
2026-08-25T07:21:09+00:00,ALL,new,15,value,1.708,PASS
2026-08-25T07:21:09+00:00,AMD,watchlist,41,growth,1.216,FAIL
2026-08-25T07:21:09+00:00,AMZN,watchlist,70,defensive,0.03,PASS
2026-08-25T07:21:09+00:00,APO,new,23,growth,1.56,FAIL
2026-08-25T07:21:09+00:00,APP,new,1,quality,2.558,PASS
2026-08-25T07:21:09+00:00,ASML,watchlist,33,quality,1.416,FAIL
2026-08-25T07:21:09+00:00,ASSA-B.ST,watchlist,69,contrarian,0.104,MISSING
2026-08-25T07:21:09+00:00,ATCO-B.ST,holding,58,quality,0.529,MISSING
2026-08-25T07:21:09+00:00,AVGO,watchlist,27,growth,1.468,FAIL
2026-08-25T07:21:09+00:00,AXON,new,31,growth,1.426,FAIL
2026-08-25T07:21:09+00:00,AZN.ST,holding,59,defensive,0.461,MISSING
2026-08-25T07:21:09+00:00,BALD-B.ST,new,21,contrarian,1.61,PASS
2026-08-25T07:21:09+00:00,BETS-B.ST,new,43,defensive,1.179,FAIL
2026-08-25T07:21:09+00:00,BTC0E.AS,holding,,,,MISSING
2026-08-25T07:21:09+00:00,CATE.ST,new,13,contrarian,1.765,PASS
2026-08-25T07:21:09+00:00,CHTR,new,16,value,1.707,FAIL
2026-08-25T07:21:09+00:00,CMCSA,new,24,value,1.529,PASS
2026-08-25T07:21:09+00:00,CME,new,45,defensive,1.171,PASS
2026-08-25T07:21:09+00:00,COF,new,42,growth,1.186,MISSING
2026-08-25T07:21:09+00:00,CORE-B.ST,new,28,value,1.464,FAIL
2026-08-25T07:21:09+00:00,DOM.ST,new,29,value,1.438,PASS
2026-08-25T07:21:09+00:00,EG,new,11,value,1.792,PASS
2026-08-25T07:21:09+00:00,ERIC-B.ST,watchlist,53,value,0.686,MISSING
2026-08-25T07:21:09+00:00,EVO.ST,watchlist,30,defensive,1.429,PASS
2026-08-25T07:21:09+00:00,EXE,new,40,contrarian,1.229,PASS
2026-08-25T07:21:09+00:00,FIS,new,18,value,1.694,PASS
2026-08-25T07:21:09+00:00,FISV,new,25,value,1.526,MISSING
2026-08-25T07:21:09+00:00,GOOGL,watchlist,38,quality,1.325,PASS
2026-08-25T07:21:09+00:00,GPN,new,35,growth,1.362,FAIL
2026-08-25T07:21:09+00:00,HD,watchlist,61,quality,0.429,FAIL
2026-08-25T07:21:09+00:00,HEXA-B.ST,watchlist,68,defensive,0.113,PASS
2026-08-25T07:21:09+00:00,HM-B.ST,watchlist,67,value,0.123,PASS
2026-08-25T07:21:09+00:00,INDU-C.ST,watchlist,8,quality,1.851,MISSING
2026-08-25T07:21:09+00:00,INVE-A.ST,holding,12,quality,1.775,MISSING
2026-08-25T07:21:09+00:00,JNJ,watchlist,56,defensive,0.579,PASS
2026-08-25T07:21:09+00:00,KINV-B.ST,watchlist,50,growth,0.858,MISSING
2026-08-25T07:21:09+00:00,KO,watchlist,57,quality,0.558,PASS
2026-08-25T07:21:09+00:00,LATO-B.ST,watchlist,54,contrarian,0.667,MISSING
2026-08-25T07:21:09+00:00,LLY,new,19,quality,1.68,FAIL
2026-08-25T07:21:09+00:00,LUND-B.ST,watchlist,52,contrarian,0.732,MISSING
2026-08-25T07:21:09+00:00,MA,new,4,quality,2.227,FAIL
2026-08-25T07:21:09+00:00,MEKO.ST,new,34,value,1.384,PASS
2026-08-25T07:21:09+00:00,META,watchlist,51,contrarian,0.765,PASS
2026-08-25T07:21:09+00:00,MO,new,26,quality,1.506,MISSING
2026-08-25T07:21:09+00:00,MSFT,watchlist,49,quality,0.951,PASS
2026-08-25T07:21:09+00:00,NOVO-B.CO,watchlist,39,quality,1.251,PASS
2026-08-25T07:21:09+00:00,NVDA,watchlist,2,quality,2.517,PASS
2026-08-25T07:21:09+00:00,ORX.ST,new,22,contrarian,1.592,MISSING
2026-08-25T07:21:09+00:00,PEP,watchlist,64,defensive,0.269,PASS
2026-08-25T07:21:09+00:00,PG,watchlist,55,defensive,0.588,PASS
2026-08-25T07:21:09+00:00,PLTR,new,17,growth,1.697,FAIL
2026-08-25T07:21:09+00:00,SAAB-B.ST,watchlist,62,defensive,0.287,FAIL
2026-08-25T07:21:09+00:00,SAND.ST,watchlist,71,quality,-0.045,PASS
2026-08-25T07:21:09+00:00,SEB-A.ST,watchlist,47,defensive,1.076,MISSING
2026-08-25T07:21:09+00:00,SHB-A.ST,holding,37,defensive,1.332,MISSING
2026-08-25T07:21:09+00:00,SMCI,new,14,growth,1.73,PASS
2026-08-25T07:21:09+00:00,SNDK,new,3,quality,2.467,PASS
2026-08-25T07:21:09+00:00,SWED-A.ST,watchlist,36,defensive,1.348,MISSING
2026-08-25T07:21:09+00:00,TEL2-B.ST,new,48,defensive,1.042,PASS
2026-08-25T07:21:09+00:00,TPL,new,10,quality,1.813,FAIL
2026-08-25T07:21:09+00:00,TSM,watchlist,6,quality,1.9,PASS
2026-08-25T07:21:09+00:00,V,new,7,quality,1.873,PASS
2026-08-25T07:21:09+00:00,VICI,new,9,contrarian,1.824,PASS
2026-08-25T07:21:09+00:00,VOLCAR-B.ST,new,44,contrarian,1.179,MISSING
2026-08-25T07:21:09+00:00,VOLV-B.ST,holding,63,value,0.285,PASS
2026-08-25T07:21:09+00:00,VRSN,new,5,quality,1.923,MISSING
2026-08-25T07:21:09+00:00,VRTX,new,46,defensive,1.111,PASS
