Ticker,Company Name
INVE-B.ST,Investor AB
VOLV-B.ST,Volvo Group
ATCO-A.ST,Atlas Copco AB (A)
ATCO-B.ST,Atlas Copco AB (B)
SEB-A.ST,Skandinaviska Enskilda Banken
SHB-A.ST,Svenska Handelsbanken
SWED-A.ST,Swedbank AB
SAND.ST,Sandvik AB
ASSA-B.ST,Assa Abloy AB
HEXA-B.ST,Hexagon AB
EVO.ST,Evolution AB
ERIC-B.ST,Telefonaktiebolaget LM Ericsson
HM-B.ST,H & M Hennes & Mauritz AB
AZN.ST,AstraZeneca PLC
EPI-A.ST,Epiroc AB (A)
EPI-B.ST,Epiroc AB (B)
INDU-A.ST,AB Industrivärden (A)
INDU-C.ST,AB Industrivärden (C)
EQT.ST,EQT AB
LATO-B.ST,Investment AB Latour
ALFA.ST,Alfa Laval AB
SKF-B.ST,AB SKF
ESSITY-B.ST,Essity AB
NIBE-B.ST,Nibe Industrier AB
SAAB-B.ST,Saab AB
SCA-B.ST,Svenska Cellulosa AB SCA
BOL.ST,Boliden AB
TELIA.ST,Telia Company AB
VOLCAR-B.ST,Volvo Car AB
GETI-B.ST,Getinge AB
BALD-B.ST,Fastighets AB Balder
SKA-B.ST,Skanska AB
TEL2-B.ST,Tele2 AB
LUND-B.ST,Lundbergföretagen AB
SNDR.ST,Sanderson Design Group (Sweden)
AXFO.ST,Axfood AB
AAK.ST,AAK AB
TREL-B.ST,Trelleborg AB
DOM.ST,Dometic Group AB
FABG.ST,Fabege AB
WIHL.ST,Wihlborgs Fastigheter AB
CAST.ST,Castellum AB
PEAB-B.ST,Peab AB
SWECO-B.ST,Sweco AB
AFRY.ST,AFRY AB
INDT.ST,Indutrade AB
LIFCO-B.ST,Lifco AB
ADDTECH-B.ST,AddTech AB
LAGR-B.ST,Lagercrantz Group AB
KINV-B.ST,Kinnevik AB
RATO-B.ST,Ratos AB
BURE.ST,Bure Equity AB
VNV.ST,VNV Global AB
CORE-B.ST,Corem Property Group AB
NYF.ST,Nyfosa AB
CAT-B.ST,Catena AB
DIOS.ST,Diös Fastigheter AB
PNDX-B.ST,Pandox AB
JM.ST,JM AB
NCC-B.ST,NCC AB
BONAV-B.ST,Bonavia AB
LOOMIS.ST,Loomis AB
AVZA.ST,Avanza Bank Holding AB
NONA.ST,Nordnet AB
RESURS.ST,Resurs Holding AB
HOFI.ST,Hoist Finance AB
COLLE.ST,Collector Bank AB
INTEG.ST,Inwido AB
NOBI.ST,Nobia AB
ELEK-B.ST,Elekta AB
VITR.ST,Swedish Orphan Biovitrum AB (Sobi)
BIOT.ST,Biotage AB
BICO.ST,BICO Group AB
RAY-B.ST,RaySearch Laboratories AB
SECT-B.ST,Sectra AB
ATT.ST,Attendo AB
AMBEA.ST,Ambea AB
HUM.ST,Humana AB
MTRS.ST,Munters Group AB
ALIF-B.ST,Alifrost AB
SYSTEM.ST,Systemair AB
BEIJ-B.ST,Beijer Alma AB
BELE.ST,Beijer Ref AB
BUCO.ST,Bulten AB
CONC.ST,Concentric AB
HALD.ST,Haldex AB
GARO.ST,Garo AB
TROAX.ST,Troax Group AB
AQ.ST,AQ Group AB
NOTE.ST,Note AB
HANZA.ST,Hanza AB
SINCH.ST,Sinch AB
TRUE-B.ST,Truecaller AB
FING-B.ST,Fingerprint Cards AB
KIND-SDB.ST,Kindred Group plc
BETCO.ST,Betsson AB
G5EN.ST,G5 Entertainment AB
MTG-B.ST,Modern Times Group MTG AB
VIAP-B.ST,Viaplay Group AB
STORY-B.ST,Storytel AB
BOOZT.ST,Boozt AB
CLAS-B.ST,Clas Ohlson AB
MEKO.ST,Mekonomen AB
BILIA-A.ST,Bilia AB
DUNI.ST,Duni AB
MIDW-B.ST,Midsona AB
ORX.ST,Orexo AB
SCST.ST,Scandic Hotels Group AB
SAS.ST,SAS AB
MYCR.ST,Mycronic AB
FAG.ST,Fagerhult AB
MEAB-B.ST,MediOver AB
EAB-B.ST,Enea AB
PROB.ST,Probi AB
NCC-A.ST,NCC AB (A)
ELUX-A.ST,Electrolux AB (A)
ELUX-B.ST,Electrolux AB (B)
IVSO.ST,Invisibleio AB
NOLA-B.ST,Nolato AB
KNOW.ST,Knowit AB
